Sugata,Mitra,,It’s quite fashionable to say that the educational system is broken. It's not broken. It's wonderfully constructed. It's just that we don't need it anymore.,"Professor of Educational Technology at the School of Education, Communication and Language Sciences at Newcastle University, England",https://en.wikipedia.org/wiki/Sugata_Mitra
Marie,Curie,,I was taught that the way of progress was neither swift nor easy,"Polish and naturalized-French physicist and chemist, first woman to win a Nobel Prize",https://en.wikipedia.org/wiki/Marie_Curie
George,Carlin,,Don’t just teach your children to read. Teach them to question what they read. Teach them to question everything.,"American stand-up comedian, social critic, actor, and author",https://en.wikipedia.org/wiki/George_Carlin
Benazir,Bhutto,,"Ultimately, leadership requires action: daring to take steps that are necessary but unpopular, challenging the status quo in order to reach a brighter future",11th Prime Minister of Pakistan,https://en.wikipedia.org/wiki/Benazir_Bhutto
A.S.,Neill,,"The function of a child is to live his/her own life, not the life that his/her anxious parents think he/she should live, nor a life according to the purpose of the educators who thinks they knows best","Scottish educator and author, founder of Summerhill School",https://en.wikipedia.org/wiki/A._S._Neill
Rosa,Parks,,I would like to be known as a person who is concerned about freedom and equality and justice and prosperity for all people," African American civil rights activist, ""the first lady of civil rights""",https://en.wikipedia.org/wiki/Rosa_Parks
Nelson,Mandela,,Education is the most powerful weapon which you can use to change the world.,"South African anti-apartheid revolutionary, politician, and philanthropist",https://en.wikipedia.org/wiki/Nelson_Mandela
Katharine,Hepburn,,"If you obey all the rules, you miss all the fun", American actress,https://en.wikipedia.org/wiki/Katharine_Hepburn
Steve,Jobs,,Have the courage to follow your heart and intuition. They somehow already know what you truly want to become. Everything else is secondary.,"Co-founder, Chairman, and CEO of Apple Inc.",https://en.wikipedia.org/wiki/Steve_Jobs
Anne,Frank,,"Despite everything, I believe that people are really good at heart","German-born diarist and writer, one of the most discussed Jewish victims of the Holocaust",https://en.wikipedia.org/wiki/Anne_Frank
Mahatma,Gandhi,,"If we are to teach real peace in this world, and if we are to carry on a real war against war, we shall have to begin with the children.",The preeminent leader of the Indian independence movement in British-ruled India,https://en.wikipedia.org/wiki/Mahatma_Gandhi
Michelle,Obama,,"There are still many causes worth sacrificing for, so much history yet to be made",The first African-American First Lady of the United States,https://en.wikipedia.org/wiki/Michelle_Obama
Albert,Einstein,,We cannot solve our problems with the same thinking we used when we created them.,"German-born theoretical physicist, the developer of the general theory of relativity",https://en.wikipedia.org/wiki/Albert_Einstein
Jean,Piaget,,"The principle goal of education in the schools should be creating men and women who are capable of doing new things, not simply repeating what other generations have done.",Clinical psychologist known for his pioneering work in child development,https://en.wikipedia.org/wiki/Jean_Piaget
Maya,Angelou,,I've learned that making a 'living' is not the same thing as 'making a life'.,"American author, poet, and civil rights activist",https://en.wikipedia.org/wiki/Maya_Angelou
Ken,Robinson,,For most of us the problem isn’t that we aim too high and fail - it’s just the opposite - we aim too low and succeed.,Professor of Arts Education at the University of Warwick,https://en.wikipedia.org/wiki/Ken_Robinson_(educationalist)
Malala,Yousafzai,,"Education is education. We should learn everything and then choose which path to follow. Education is neither Eastern nor Western, it is human.",Pakistani activist for female education and the youngest-ever Nobel Prize laureate.,https://en.wikipedia.org/wiki/Malala_Yousafzai
Eric,Berne,,"The moment a little boy is concerned with which is a jay and which is a sparrow, he can no longer see the birds or hear them sing.",Canadian-born psychiatrist who created the theory of transactional analysis,https://en.wikipedia.org/wiki/Eric_Berne
Zoe,Weil,,"Someday, I hope that we will all be patriots of our planet and not just of our respective nations.","Most Good, Least Harm: A Simple Principle for a Better World and Meaningful Life",http://humaneeducation.org/blog/resource/most-good-least-harm-a-simple-principle-for-a-better-world-and-meaningful-life/
Richard,Branson,,"You don't learn to walk by following rules. You learn by doing, and by falling over.","English business magnate, and investor, the founder of Virgin Group.",https://en.wikipedia.org/wiki/Richard_Branson
