,School name and country,,,,,,,,Primary contact information,,,,,General statistics,,,,,"Professional affiliation, recognition",,,,,,,"Prospective parents, visitors information",,,,,
,School full official name,Country,Couurently Runing? Open?,House address,Street address1,Street address2,City,Post code,Website URL/Name,Contact Email,Phone Number,Facebook Link,Twitter Link,Principal's name,Date School Was Founded,Funded by,Number of Students,Total graduates,Wikipedia link,EUDEC Member,AERO Member,Wikipedia list of schools entry,IDEN entry,ADEC Entry,AlternativeToSchool.com entry,Open days,Teaching language,Intl. students,G.Maps full address,Link to Google Street View Facing the School,-
,Escuela de la Nueva Cultura La Cecilia,Argentine Republic,Yes,Escuela La Cecilia,Provincial Route nº5 Km 3,,Monte Vera,3014,http://www.lacecilia.org.ar,info@lacecilia.org.ar,00543424904151,https://www.facebook.com/escuelalacecilia,,,11/1/1990,,90,83,,,No,Yes,Yes,No,No,,Spanish,,"Provincial Route nº5 - Escuela La Cecilia, 3014 Monte Vera, Santa Fe, Argentina",,
,Brisbane Independent School,Commonwealth of Australia,Yes,2447,Moggill Road,,"Pullenvale, QLD",4069,http://www.bis.org.au,office@bis.org.au,0061733785466,https://www.facebook.com/brisbaneindependentschool,,Jen Haynes,1968,,58,,https://en.wikipedia.org/wiki/Brisbane_Independent_School,,No,Yes,Yes,Yes,No,20/06/2015,English,,"2447 Moggill Road, Pullenvale QLD 4069",,
,Kinma School,Commonwealth of Australia,Yes,127,Coolowie Road,,"Terrey Hills, NSW",2084,http://www.kinma.nsw.edu.au,enquiries@kinma.nsw.edu.au,0061294500738,https://www.facebook.com/kinmaschool,https://twitter.com/kinmaschool,,1971,,90,,,,Yes,Yes,Yes,Yes,No,12/8/2015,English,,"127 Coolowie Road, 
Terrey Hills NSW 2084, Australia",,
,Lernwerkstatt im Wasserschloss,Republic of Austria,Yes,10,Josef Trauttmansdorff-Straße,,Pottenbrunn,3140,http://www.lernwerkstatt.at,info@lernwerkstatt.at,0043274243550,https://www.facebook.com/LWSPottenbrunn,,,1990,,70,,,,No,Yes,Yes,No,No,,"German, English, Spanish",,"Josef Trauttmansdorff-Straße 10, St. Pölten, Pottenbrunn, Austria",,
,Het Leerhuis Sudbury School,Kingdom of Belgium,No,22,Abdijdreef,,Kortenberg,3070,http://www.hetleerhuis.org,info@hetleerhuis.org,0032486689187,https://www.facebook.com/pages/Het-Leerhuis-Sudbury-school/43952134216?sk,,,2007,Private,10,,,,,,No,No,No,,,,"Oude Abdij, Abdijdreef 22, 3070 Kortenberg, Belgium","https://www.google.com.bd/maps/search/Oude+Abdij,+Abdijdreef+22,+3070+Kortenberg,+Belgium/@50.967775,4.1057735,11z/data=!3m1!4b1",
,Lumiar School,Federative Republic of Brazil,Yes,64 e 74,Rua Doutor Fausto Ferraz,Bela Vista,Sao Paulo,01333-030,http://www.lumiar.org.br,celia@lumiar.org.br,00551132567092,,,,2002,,91,,,,,,,,,,,,,"https://www.google.com.bd/maps/search/Rua+Bela+Cintra,+561+CEP+01415-000.Sao+Paolo+(SP),+Brazil+/@-23.542146,-46.631215,14z/data=!3m1!4b1",
,Teia Multicultural School,Federative Republic of Brazil,Yes,197,Rua Dona Germaine Burchard,Água Branca,Sao Paulo,05002-010,http://www.teiamulticultural.com.br,secretaria@teiamulticultural.com.br,005538721035,https://www.facebook.com/pages/Teia-Multicultural/228708233830370,,,11/9/2005,,70,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/Rua+Lincoln+Albuquerque,+312+-+Perdizes/@-23.5328307,-46.6680093,17z/data=!3m1!4b1!4m2!3m1!1s0x94ce581ce2f7903f:0xb7812a4b284c060b",
,Politeia Escola Democrática,Federative Republic of Brazil,Yes,511,Rua Dona Germaine Burchard,Água Branca,Sao Paulo,05002-062,http://www.escolapoliteia.com.br,secretaria@escolapoliteia.com.br,00551138039805,,https://twitter.com/@escolapoliteia,,,,15,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/Escola+Politeia/@-23.529932,-46.672546,17z/data=!3m1!4b1!4m2!3m1!1s0x94ce57f9ac5035ed:0x1c9142e06581e1f8",
